scenario,budget,paddock,elevation,te_count,native_cover_pct,alternative,alternative_name,roadside_built,fixed,cost,te_score,habitat_score,rancher_score,hunter_score,recreationist_score,fire_risk_reduction
Balanced,40000000,21,Mauka,16.0,12.400562,7,7: full restoration,False,False,2070067.255818,1.0,1.0,0.0,0.0,0.6666666666666666,0.012323075167850002
Balanced,40000000,22,Mauka,6.0,2.626016,1,1: fence + fuelbreaks,False,False,652397.948563,0.31490036962471685,0.31490036962471685,0.875,0.8333333333333334,0.2222222222222222,0.01220469261635
Balanced,60000000,1,Makai,0.0,0.568207,7,7: full restoration,False,False,1994684.983076,0.0,1.0,0.3333333333333333,0.4444444444444444,1.0,0.0167353525776
Balanced,60000000,2,Makai,3.0,0.14173,7,7: full restoration,False,False,1765902.968676,1.0,1.0,0.3333333333333333,0.4444444444444444,1.0,0.0278348740026
Balanced,60000000,3,Makai,9.0,1.542957,7,7: full restoration,False,False,2048559.9606,1.0,1.0,0.3333333333333333,0.4444444444444444,1.0,0.016183133392475
Balanced,60000000,4,Makai,8.0,0.902437,7,7: full restoration,False,False,1772838.577836,1.0,1.0,0.3333333333333333,0.4444444444444444,1.0,0.01137804382805
Balanced,60000000,5,Makai,58.0,1.647397,7,7: full restoration,False,False,4592564.839284,1.0,1.0,0.3333333333333333,0.4444444444444444,1.0,0.015659909322425003
Balanced,60000000,6,Makai,6.0,0.397277,7,7: full restoration,False,False,5957629.7290636,1.0,1.0,0.3333333333333333,0.4444444444444444,1.0,0.0237684154314
Balanced,60000000,7,Makai,28.0,0.376842,7,7: full restoration,False,False,4669799.65136,1.0,1.0,0.3333333333333333,0.4444444444444444,1.0,0.025719518826500004
Balanced,60000000,8,Makai,216.0,0.151658,7,7: full restoration,False,False,3324988.721202,1.0,1.0,0.3333333333333333,0.4444444444444444,1.0,0.020537726758850003
Balanced,60000000,9,Makai,580.0,1.849683,7,7: full restoration,False,True,3896204.243028,1.0,1.0,-4.0,-4.0,9.0,0.012398781209800001
Balanced,60000000,10,Makai,2.0,0.359382,7,7: full restoration,False,False,3540459.4501688,1.0,1.0,0.3333333333333333,0.4444444444444444,1.0,0.00957359523835
Balanced,60000000,11,Middle,4.0,0.023327,7,7: full restoration,False,False,3596740.135317999,1.0,1.0,0.16666666666666666,0.2222222222222222,0.3333333333333333,0.00432406671464
Balanced,60000000,12,Middle,5.0,1.376907,1,1: fence + fuelbreaks,False,False,823798.698198,0.27524307118542085,0.27524307118542085,0.75,0.7777777777777778,0.1111111111111111,0.00752927912495
Balanced,60000000,13,Middle,1.0,0.053414,7,7: full restoration,False,False,3857354.7889272,1.0,1.0,0.16666666666666666,0.2222222222222222,0.3333333333333333,0.012754674421650002
Balanced,60000000,14,Middle,2.0,1.979633,7,7: full restoration,False,False,3131783.4280568,1.0,1.0,0.16666666666666666,0.2222222222222222,0.3333333333333333,0.0097031031866
Balanced,60000000,15,Middle,0.0,2.936385,7,7: full restoration,False,False,1680434.40818,0.0,1.0,0.16666666666666666,0.2222222222222222,0.3333333333333333,0.008965560912787501
Balanced,60000000,16,Mauka,2.0,0.228544,7,7: full restoration,False,False,2053707.6928078,1.0,1.0,0.0,0.0,0.6666666666666666,0.0031737553436150005
Balanced,60000000,17,Mauka,13.0,0.808116,7,7: full restoration,False,False,1853228.690414,1.0,1.0,0.0,0.0,0.6666666666666666,0.005095936366750001
Balanced,60000000,18,Mauka,21.0,4.076177,7,7: full restoration,False,False,2059505.089578,1.0,1.0,0.0,0.0,0.6666666666666666,0.006428542750987502
Balanced,60000000,19,Mauka,28.0,8.64908,7,7: full restoration,False,False,1949178.013702,1.0,1.0,0.0,0.0,0.6666666666666666,0.0082413344888
Balanced,60000000,20,Mauka,5.0,0.176797,7,7: full restoration,False,False,925810.5096959999,1.0,1.0,0.0,0.0,0.6666666666666666,0.009156074086499998
Balanced,60000000,21,Mauka,16.0,12.400562,7,7: full restoration,False,False,2070067.255818,1.0,1.0,0.0,0.0,0.6666666666666666,0.012323075167850002
Balanced,60000000,22,Mauka,6.0,2.626016,7,7: full restoration,False,False,2315086.461794,1.0,1.0,0.0,0.0,0.6666666666666666,0.01556158602045
Conservation priority,5000000,1,Makai,0.0,0.568207,11,11: no change,True,False,0.0,0.0,0.0,0.5,0.6666666666666666,0.0,0.005897262373399999
Conservation priority,5000000,2,Makai,3.0,0.14173,11,11: no change,True,False,0.0,0.0,0.0,0.5,0.6666666666666666,0.0,0.008879001428099997
Conservation priority,5000000,3,Makai,9.0,1.542957,11,11: no change,True,False,0.0,0.0,0.0,0.5,0.6666666666666666,0.0,0.005498536554124998
Conservation priority,5000000,4,Makai,8.0,0.902437,11,11: no change,True,False,0.0,0.0792989098401836,0.0792989098401836,0.5,0.6666666666666666,0.0,0.0036813898105199985
Conservation priority,5000000,5,Makai,58.0,1.647397,11,11: no change,True,False,0.0,0.03547728015023172,0.03547728015023172,0.5,0.6666666666666666,0.0,0.004483392684224999
Conservation priority,5000000,6,Makai,6.0,0.397277,11,11: no change,True,False,0.0,0.0,0.0,0.5,0.6666666666666666,0.0,0.00692186954784
